Sample A,,,,,,,,,
Track n°,Slice n°,X,Y,Distance,Velocity,Pixel Value,,uniaxial,transverse 
1,1,262,430,-1,-1,-16051415,,0,0
1,2,262,406,3.096,1.548,-15592928,,0.066929134,0
1,3,264,377,3.75,1.875,-14935506,,0.161417323,0
1,4,261,348,3.761,1.88,-15067360,,0.244094488,0
1,5,261,321,3.483,1.742,-15857135,,0.326771654,0
1,6,261,290,3.999,2,-14869720,,0.429133858,0
1,7,260,261,3.743,1.872,-15131864,,0.515748031,0
1,8,258,233,3.621,1.811,-15527909,,0.606299213,0
1,9,257,202,4.001,2.001,-15653563,,0.708661417,0
2,1,282,684,-1,-1,-15390122,,,
2,2,281,677,0.912,0.456,-16181181,,,
2,3,281,672,0.645,0.323,-15787712,,,
2,4,281,664,1.032,0.516,-16580341,,,
2,5,278,658,0.865,0.433,-15590080,,,
2,6,278,653,0.645,0.323,-15655621,,,
2,7,278,646,0.903,0.452,-13948101,,,
2,8,278,641,0.645,0.323,-15461853,,,
2,9,277,636,0.658,0.329,-14802107,,,
3,1,282,569,-1,-1,-16053737,,,
3,2,282,556,1.677,0.839,-14869969,,,
3,3,282,541,1.935,0.968,-14670010,,,
3,4,282,525,2.064,1.032,-14869970,,,
3,5,281,509,2.068,1.034,-15461597,,,
3,6,281,492,2.193,1.097,-16249557,,,
3,7,280,474,2.326,1.163,-16448739,,,
3,8,280,458,2.064,1.032,-16578786,,,
3,9,278,442,2.08,1.04,-13749170,,,
4,1,253,576,-1,-1,-14275247,,,
4,2,256,564,1.596,0.798,-16579299,,,
4,3,254,544,2.593,1.296,-15199727,,,
4,4,256,530,1.824,0.912,-14869970,,,
4,5,257,513,2.197,1.098,-15131597,,,
4,6,256,496,2.197,1.098,-13684923,,,
4,7,257,478,2.326,1.163,-12566193,,,
4,8,256,465,1.682,0.841,-14474965,,,
4,9,256,449,2.064,1.032,-14870229,,,
