Sample D,,,,,,,,,,
Track n°,Slice n°,X,Y,Distance,Velocity,Pixel Value,,uniaxial,transverse ,v
1,1,254,441,-1,-1,-14605776,,0,0,#DIV/0!
1,2,254,418,2.967,1.484,-14607337,,0.056603774,-0.034482759,0.609195402
1,3,253,391,3.485,1.743,-13948616,,0.139622642,-1.103448276,7.903075489
1,4,253,364,3.483,1.742,-14605783,,0.211320755,-1.862068966,8.811576355
1,5,252,337,3.485,1.743,-15001304,,0.294339623,-1.896551724,6.443412909
1,6,252,312,3.225,1.613,-15922131,,0.369811321,-1.827586207,4.941942294
1,7,250,286,3.364,1.682,-15328699,,0.445283019,-1.827586207,4.104324956
1,8,250,263,2.967,1.484,-13948093,,0.501886792,-1.827586207,3.641431164
1,9,249,237,3.356,1.678,-16116161,,0.573584906,-1.827586207,3.186252269
2,1,271,706,-1,-1,-14738923,,,,
2,2,270,698,1.04,0.52,-16184552,,,,
2,3,270,693,0.645,0.323,-16448493,,,,
2,4,270,685,1.032,0.516,-13817821,,,,
2,5,269,680,0.658,0.329,-16054254,,,,
2,6,269,675,0.645,0.323,-15526353,,,,
2,7,269,669,0.774,0.387,-16054254,,,,
2,8,269,661,1.032,0.516,-15593183,,,,
2,9,268,654,0.912,0.456,-16645616,,,,
3,1,237,572,-1,-1,-16249042,,,,
3,2,238,557,1.939,0.97,-13685189,,,,
3,3,238,538,2.451,1.226,-16381140,,,,
3,4,240,522,2.08,1.04,-16116689,,,,
3,5,240,508,1.806,0.903,-13882825,,,,
3,6,240,493,1.935,0.968,-15922131,,,,
3,7,240,476,2.193,1.097,-14409152,,,,
3,8,240,459,2.193,1.097,-13223329,,,,
3,9,240,442,2.193,1.097,-14934979,,,,
4,1,263,568,-1,-1,-15328704,,,,
4,2,264,550,2.326,1.163,-15393721,,,,
4,3,264,533,2.193,1.097,-15393978,,,,
4,4,264,517,2.064,1.032,-14735026,,,,
4,5,264,501,2.064,1.032,-15262651,,,,
4,6,264,484,2.193,1.097,-15328965,,,,
4,7,263,468,2.068,1.034,-15263173,,,,
4,8,262,453,1.939,0.97,-13948093,,,,
4,9,261,437,2.068,1.034,-14014151,,,,
