Crosshead speed,10,mm/min,,,,,,,
Tensile strain,25.4,mm,,,,,Area,2.16354E-05,
,,,,,,,,,
Time,Extension,Load,Strain from Extensometer,,,,,,
(s),(mm),(N),(mm/mm),,,,,Stress,Strain
0,0,0.00176,0,,,,,81.34816088,0
0.05,0.00562,0.0113,0,,,,,522.2921693,0.100176149
0.1,0.01562,0.00817,0.00001,,,,,377.6218605,0.278425523
0.15,0.02547,-0.00061,0,,,,,-28.19453303,0.454001157
0.2,0.03344,0.01826,0.00001,,,,,843.9871692,0.596065909
0.25,0.04156,0.00697,0,,,,,322.1572053,0.740804401
0.3,0.05031,0.01208,0,,,,,558.3441952,0.896772604
0.35,0.05891,0.0124,0,,,,,573.1347699,1.050067066
0.4,0.06687,0.01938,0,,,,,895.7541806,1.191953569
0.45,0.07516,0.02026,0.00001,,,,,936.4282611,1.3397223
0.5,0.08391,0.01392,0.00001,,,,,643.3899997,1.495690503
0.55,0.09203,0.02353,0,,,,,1087.569446,1.640428995
0.6,0.10016,0.01111,0,,,,,513.5102656,1.785345737
0.65,0.10875,0.02357,0,,,,,1089.418268,1.93846195
0.7,0.11719,0.02475,0,,,,,1143.958512,2.088904422
0.75,0.12516,0.04087,0.00001,,,,,1889.033713,2.230969174
0.8,0.13359,0.04617,0,,,,,2134.002607,2.381233397
0.85,0.14234,0.04255,0,,,,,1966.68423,2.537201599
0.9,0.15047,0.02923,0,,,,,1351.026558,2.682118341
0.95,0.15844,0.04933,0,,,,,2280.059532,2.824183093
1,0.16719,0.06025,0.00001,,,,,2784.787894,2.980151296
1.05,0.17562,0.06154,0.00001,,,,,2844.412398,3.130415518
1.1,0.18359,0.03496,0,,,,,1615.870287,3.27248027
1.15,0.19187,0.06809,0,,,,,3147.156974,3.420070752
1.2,0.20078,0.06976,0,,,,,3224.345286,3.578890945
1.25,0.20891,0.04229,0,,,,,1954.666889,3.723807687
1.3,0.21672,0.06384,0,,,,,2950.719654,3.863020448
1.35,0.22547,0.03754,0,,,,,1735.119295,4.018988651
1.4,0.23422,0.06435,0.00001,,,,,2974.292132,4.174956854
1.45,0.24203,0.05707,0,,,,,2637.806558,4.314169616
1.5,0.25,0.06434,-0.00001,,,,,2973.829927,4.456234367
1.55,0.25906,0.06665,0.00001,,,,,3080.599388,4.617728301
1.6,0.26766,0.0754,0,,,,,3485.029165,4.771022763
1.65,0.27516,0.06632,0,,,,,3065.346608,4.904709794
1.7,0.28344,0.08151,0.00001,,,,,3767.436701,5.052300276
1.75,0.2925,0.05827,-0.00001,,,,,2693.271213,5.21379421
1.8,0.30062,0.06458,0,,,,,2984.922858,5.358532702
1.85,0.30844,0.08001,0,,,,,3698.105882,5.497923713
1.9,0.31719,0.08149,0,,,,,3766.51229,5.653891916
1.95,0.32594,0.08048,0.00001,,,,,3719.829539,5.809860119
2,0.33375,0.12701,0,,,,,5870.471542,5.94907288
2.05,0.34187,0.07812,-0.00001,,,,,3610.74905,6.093811373
2.1,0.35062,0.07714,0,,,,,3565.452915,6.249779576
2.15,0.35875,0.0809,0,,,,,3739.242168,6.394696317
2.2,0.36672,0.0913,0,,,,,4219.935846,6.536761069
2.25,0.37547,0.09785,0.00001,,,,,4522.680422,6.692729272
2.3,0.38406,0.14179,0.00001,,,,,6553.611211,6.845845485
2.35,0.39187,0.11893,-0.00001,,,,,5497.009531,6.985058246
2.4,0.40016,0.09262,-0.00001,,,,,4280.946967,7.132826978
2.45,0.40906,0.08996,-0.00001,,,,,4158.000314,7.291468921
2.5,0.41734,0.10717,0.00003,,,,,4953.45591,7.439059404
2.55,0.42516,0.10355,0,,,,,4786.137534,7.578450415
2.6,0.43375,0.15168,-0.00001,,,,,7010.732411,7.731566627
2.65,0.44266,0.13181,0,,,,,6092.330163,7.89038682
2.7,0.45047,0.09586,-0.00002,,,,,4430.701535,8.029599582
2.75,0.45828,0.08513,0.00003,,,,,3934.755077,8.168812344
2.8,0.46719,0.13571,0,,,,,6272.590292,8.327632536
2.85,0.47594,0.09883,-0.00002,,,,,4567.976557,8.483600739
2.9,0.48359,0.12482,0.00003,,,,,5769.248546,8.619961511
2.95,0.49187,0.17908,-0.00002,,,,,8277.17537,8.767551993
3,0.50078,0.08379,-0.00002,,,,,3872.819546,8.926372186
3.05,0.50906,0.1452,0.00001,,,,,6711.223273,9.073962668
3.1,0.51687,0.12556,-0.00018,,,,,5803.45175,9.21317543
3.15,0.52531,0.32042,0.00022,,,,,14809.98734,9.363617902
3.2,0.53406,0.04289,-0.00035,,,,,1982.399216,9.519586105
3.25,0.54203,0.20204,0.00041,,,,,9338.399105,9.661650857
3.3,0.55031,0.24794,-0.00006,,,,,11459.92216,9.809241339
3.35,0.55906,0.01683,-0.00011,,,,,777.8917885,9.965209542
3.4,0.56734,0.18014,-0.00008,,,,,8326.169149,10.11280002
