Crosshead speed,10,mm/min,,,,,,,
Tensile strain,25.4,mm,,,,,Area,2.05629E-05,
,,,,,,,,,
Time,Extension,Load,Strain from Extensometer,,,,,,
(s),(mm),(N),(mm/mm),,,,,Stress,Strain
0,-10.98859,-0.0021,0,,,,,-102.1258716,-207.7577154
0.05,-10.98766,0.00898,0,,,,,436.7096795,-207.7401322
0.1,-10.98281,0.00439,0,,,,,213.491703,-207.6484349
0.15,-10.97125,0.003,0,,,,,145.8941023,-207.4298737
0.2,-10.95891,0.01028,0.00001,,,,,499.9304571,-207.1965653
0.25,-10.94859,-0.01217,0.00001,,,,,-591.8437416,-207.0014484
0.3,-10.93953,0.01283,0.00001,,,,,623.9404441,-206.8301539
0.35,-10.93031,-0.00648,0,,,,,-315.1312609,-206.6558343
0.4,-10.92172,0.01705,0.00001,,,,,829.1648146,-206.493426
0.45,-10.91359,0.02253,0,,,,,1095.664708,-206.3397147
0.5,-10.905,0.00723,0,,,,,351.6047865,-206.1773064
0.55,-10.89625,0.02915,0.00002,,,,,1417.60436,-206.0118729
0.6,-10.88844,0.02036,0,,,,,990.1346408,-205.8642118
0.65,-10.88031,0.01767,0.00001,,,,,859.3162624,-205.7105005
0.7,-10.87141,0.02429,0.00001,,,,,1181.255915,-205.5422311
0.75,-10.86312,0.04011,-0.00001,,,,,1950.604147,-205.3854948
0.8,-10.85516,0.03096,0.00001,,,,,1505.627136,-205.2349976
0.85,-10.84656,0.03605,0,,,,,1753.160796,-205.0724002
0.9,-10.83781,0.03694,0,,,,,1796.442713,-204.9069668
0.95,-10.82984,0.03915,0.00001,,,,,1903.918035,-204.7562806
1,-10.82188,0.03331,0,,,,,1619.910849,-204.6057834
1.05,-10.81297,0.0379,0,,,,,1843.128825,-204.4373249
1.1,-10.80438,0.03194,0.00001,,,,,1553.285876,-204.2749166
1.15,-10.79672,0.05733,0.00001,,,,,2788.036295,-204.1300914
1.2,-10.78844,0.04742,0,,,,,2306.099443,-203.9735442
1.25,-10.77953,0.03824,0,,,,,1859.66349,-203.8050857
1.3,-10.77125,0.04536,0,,,,,2205.918826,-203.6485384
1.35,-10.76359,0.03555,0,,,,,1728.845112,-203.5037132
1.4,-10.75484,0.05395,0.00002,,,,,2623.662273,-203.3382798
1.45,-10.74625,0.05726,0.00001,,,,,2784.632099,-203.1758715
1.5,-10.73828,0.05358,0.00001,,,,,2605.668667,-203.0251853
1.55,-10.73016,0.07227,0.00001,,,,,3514.588924,-202.8716631
1.6,-10.72141,0.06964,0,,,,,3386.688428,-202.7062296
1.65,-10.71313,0.05988,0,,,,,2912.046281,-202.5496824
1.7,-10.70516,0.04977,0,,,,,2420.383157,-202.3989961
1.75,-10.69656,0.06554,0.00001,,,,,3187.299821,-202.2363987
1.8,-10.68797,0.05924,0.00002,,,,,2880.922206,-202.0739904
1.85,-10.67984,0.04961,0,,,,,2412.602138,-201.9202791
1.9,-10.67156,0.07035,0,,,,,3421.216698,-201.7637318
1.95,-10.66281,0.07843,0.00001,,,,,3814.158147,-201.5982984
2,-10.65453,0.06525,0,,,,,3173.196725,-201.4417511
