Crosshead speed,10,mm/min,,,,,,,
Tensile strain,25.4,mm,,,,,Area,2.64044E-05,
,,,,,,,,,
Time,Extension,Load,Strain from Extensometer,,,,,,
(s),(mm),(N),(mm/mm),,,,,Stress,Strain
0,0,-0.01846,-0.00001,,,,,-699.1259033,0
0.05,0.00094,-0.01018,0,,,,,-385.5418036,0.00670456
0.1,0.00641,-0.00438,0,,,,,-165.881444,0.045719391
0.15,0.01828,0.01164,-0.00001,,,,,440.8356183,0.13038229
0.2,0.03031,0.00638,0.00001,,,,,241.6263956,0.216186389
0.25,0.04016,0.02587,0,,,,,979.7609489,0.286441617
0.3,0.04875,0.02395,0,,,,,907.0457954,0.347709881
0.35,0.05812,0.02127,0,,,,,805.5475603,0.414541503
0.4,0.06672,0.02979,0,,,,,1128.221054,0.475881092
0.45,0.07469,0.06233,0.00001,,,,,2360.591417,0.5327272
0.5,0.08328,0.05498,0,,,,,2082.228719,0.593995464
0.55,0.09219,0.07003,-0.00001,,,,,2652.20948,0.657546131
0.6,0.10016,0.08289,0,,,,,3139.249519,0.714392239
0.65,0.10812,0.07761,0,,,,,2939.282847,0.771167021
0.7,0.11703,0.0723,0,,,,,2738.18,0.834717689
0.75,0.12562,0.09864,0,,,,,3735.741013,0.895985953
0.8,0.13344,0.09767,0,,,,,3699.004711,0.951762184
0.85,0.14156,0.09695,0,,,,,3671.736529,1.009678168
0.9,0.15062,0.12215,0,,,,,4626.122919,1.074298712
0.95,0.15891,0.10684,0,,,,,4046.295314,1.133427223
1,0.16656,0.10791,0,,,,,4086.818864,1.187990927
1.05,0.17516,0.11479,0,,,,,4347.381497,1.249330517
1.1,0.18422,0.1258,0.00001,,,,,4764.357456,1.313951061
1.15,0.19203,0.15042,0.00001,,,,,5696.77781,1.369655967
1.2,0.2,0.12684,0,,,,,4803.74483,1.426502074
1.25,0.20875,0.1553,0,,,,,5881.595492,1.48891154
1.3,0.21734,0.15914,0,,,,,6027.025799,1.550179804
1.35,0.22516,0.17165,0,,,,,6500.810471,1.605956035
1.4,0.23359,0.17417,0,,,,,6596.24911,1.666083098
1.45,0.24219,0.18436,0,,,,,6982.169638,1.727422687
1.5,0.25031,0.18425,0,,,,,6978.003666,1.785338671
1.55,0.25828,0.18882,0,,,,,7151.08088,1.842184779
1.6,0.26719,0.1898,0,,,,,7188.195907,1.905735446
1.65,0.27547,0.19767,0,,,,,7486.252291,1.964792632
1.7,0.28344,0.2013,0,,,,,7623.729378,2.02163874
1.75,0.29187,0.21603,0,,,,,8181.590947,2.081765802
1.8,0.30078,0.23861,0,,,,,9036.751451,2.145316469
1.85,0.30875,0.24374,0,,,,,9231.037251,2.202162577
1.9,0.31656,0.23379,0,,,,,8854.206117,2.257867483
1.95,0.32531,0.24998,0,,,,,9467.3615,2.320276949
2,0.33422,0.25222,0.00001,,,,,9552.195846,2.383827616
2.05,0.34187,0.25752,0,,,,,9752.919968,2.438391321
2.1,0.35,0.26054,0,,,,,9867.294845,2.49637863
2.15,0.35875,0.28244,0,,,,,10696.70206,2.558788096
2.2,0.36734,0.27349,0,,,,,10357.74341,2.62005636
2.25,0.37516,0.28276,0,,,,,10708.82126,2.675832591
2.3,0.38359,0.31692,0,,,,,12002.54503,2.735959653
2.35,0.39234,0.29222,0,,,,,11067.09488,2.798369119
2.4,0.40047,0.31403,0,,,,,11893.09358,2.856356428
2.45,0.40844,0.31566,0,,,,,11954.82571,2.913202536
2.5,0.41703,0.32591,0,,,,,12343.01859,2.9744708
2.55,0.42547,0.32623,0,,,,,12355.13778,3.034669188
2.6,0.43344,0.34156,0,,,,,12935.72283,3.091515295
2.65,0.44187,0.34251,0,,,,,12971.70169,3.151642358
2.7,0.45062,0.33306,0,,,,,12613.80679,3.214051824
2.75,0.45859,0.35596,0,,,,,13481.08649,3.270897931
2.8,0.46687,0.34922,0,,,,,13225.826,3.329955117
2.85,0.47562,0.36867,0,,,,,13962.44565,3.392364583
2.9,0.48391,0.37415,0.00001,,,,,14169.98682,3.451493094
2.95,0.49187,0.37617,0,,,,,14246.48922,3.508267876
3,0.50031,0.38523,0,,,,,14589.61385,3.568466264
3.05,0.50906,0.39096,0,,,,,14806.62314,3.63087573
3.1,0.51703,0.37689,0,,,,,14273.7574,3.687721837
3.15,0.525,0.41521,0,,,,,15725.03068,3.744567945
3.2,0.53375,0.41469,0,,,,,15705.33699,3.806977411
3.25,0.5425,0.4256,0,,,,,16118.5257,3.869386876
3.3,0.55016,0.41302,0,,,,,15642.08995,3.924021906
3.35,0.55828,0.41269,0,,,,,15629.59204,3.98193789
3.4,0.56719,0.43136,0,,,,,16336.67116,4.045488558
3.45,0.57547,0.45716,0,,,,,17313.78104,4.104545743
3.5,0.58328,0.45556,0,,,,,17253.18508,4.160250649
3.55,0.59187,0.47648,0,,,,,18045.47727,4.221518913
3.6,0.60062,0.4671,0,,,,,17690.23345,4.283928379
3.65,0.60859,0.46736,0,,,,,17700.08029,4.340774487
3.7,0.61672,0.47493,0,,,,,17986.77493,4.398761796
3.75,0.62547,0.49083,0.00001,,,,,18588.9473,4.461171262
3.8,0.63375,0.48588,0,,,,,18401.47854,4.520228448
3.85,0.64187,0.50625,0,,,,,19172.94087,4.578144432
3.9,0.65031,0.49525,0,,,,,18756.34364,4.63834282
3.95,0.65891,0.51915,0,,,,,19661.49581,4.699682409
4,0.66703,0.49458,0,,,,,18730.96908,4.757598393
4.05,0.67516,0.53909,0,,,,,20416.67298,4.815585702
4.1,0.68391,0.52436,0,,,,,19858.81141,4.877995168
4.15,0.69219,0.56876,0,,,,,21540.34934,4.937052354
4.2,0.70016,0.53679,0,,,,,20329.56628,4.993898462
4.25,0.70859,0.57635,0,,,,,21827.80143,5.054025524
4.3,0.71734,0.56581,0,,,,,21428.62553,5.11643499
4.35,0.72531,0.57222,0,,,,,21671.3881,5.173281097
4.4,0.73328,0.56423,0,,,,,21368.78702,5.230127205
4.45,0.74203,0.56243,0,,,,,21300.61656,5.292536671
4.5,0.75078,0.58985,0,,,,,22339.07985,5.354946137
4.55,0.75844,0.61174,0,,,,,23168.10835,5.409581166
4.6,0.76656,0.60237,0,,,,,22813.24325,5.46749715
4.65,0.77562,0.5975,0,,,,,22628.80429,5.532117694
4.7,0.78406,0.61587,0,,,,,23324.52167,5.592316082
4.75,0.79172,0.60967,0,,,,,23089.71232,5.646951111
4.8,0.80016,0.64091,0,,,,,24272.84846,5.707149499
4.85,0.80906,0.62851,0,,,,,23803.22976,5.770628841
4.9,0.81703,0.634,0,,,,,24011.14966,5.827474949
4.95,0.825,0.64303,0,,,,,24353.13811,5.884321056
5,0.83375,0.66129,0,,,,,25044.68952,5.946730522
5.05,0.84234,0.66965,0,,,,,25361.30342,6.007998786
5.1,0.85016,0.66783,0,,,,,25292.37551,6.063775017
5.15,0.85859,0.67488,0,,,,,25559.37647,6.12390208
5.2,0.86734,0.69126,0,,,,,26179.72762,6.186311545
5.25,0.87531,0.68781,0,,,,,26049.06758,6.243157653
5.3,0.88344,0.69592,0,,,,,26356.21336,6.301144962
5.35,0.89203,0.70242,0,,,,,26602.38445,6.362413227
5.4,0.90062,0.70042,0,,,,,26526.6395,6.423681491
5.45,0.90844,0.71746,0.00001,,,,,27171.98649,6.479457722
5.5,0.91687,0.74274,0,,,,,28129.40268,6.539584784
5.55,0.92578,0.73287,0,,,,,27755.60134,6.603135452
5.6,0.93375,0.72651,0,,,,,27514.73239,6.659981559
5.65,0.94156,0.72494,0,,,,,27455.27261,6.715686465
5.7,0.95031,0.74583,0.00001,,,,,28246.42863,6.778095931
5.75,0.95906,0.75015,0,,,,,28410.03772,6.840505397
5.8,0.96687,0.76896,0,,,,,29122.41899,6.896210303
5.85,0.975,0.78172,0,,,,,29605.67178,6.954197612
5.9,0.98391,0.77921,0,,,,,29510.61187,7.017748279
5.95,0.99234,0.80405,0,,,,,30451.36417,7.077875342
6,1,0.79458,0,,,,,30092.71182,7.132510371
6.05,1.00859,0.80149,0,,,,,30354.41063,7.193778635
6.1,1.01734,0.80676,0,,,,,30553.99858,7.256188101
6.15,1.02547,0.81493,0,,,,,30863.4167,7.31417541
6.2,1.03328,0.81633,0,,,,,30916.43817,7.369880316
6.25,1.04203,0.83266,0,,,,,31534.8957,7.432289782
6.3,1.05047,0.82606,0,,,,,31284.93736,7.49248817
6.35,1.05844,0.84028,0,,,,,31823.48396,7.549334277
6.4,1.06687,0.82615,0,,,,,31288.34588,7.60946134
6.45,1.07547,0.83744,0,,,,,31715.92613,7.670800929
6.5,1.08375,0.86241,0,,,,,32661.60185,7.729858115
6.55,1.09187,0.86867,0,,,,,32898.68355,7.787774099
